Tiempo,Ch1,Ch2
0.0,-1.2,3.2
0.055,-0.4,2.8
0.11,0.0,2.8
0.165,0.0,2.8
0.22,0.4,2.8
0.275,0.4,2.8
0.33,0.8,2.8
0.385,1.2,2.8
0.44,1.2,2.8
0.495,2.0,2.8
0.55,2.0,2.8
0.605,2.4,2.8
0.66,2.8,2.8
0.715,2.8,2.8
0.77,3.6,2.8
0.8250000000000001,3.6,2.8
0.88,3.6,2.8
0.935,4.0,2.8
0.99,4.4,2.8
1.045,4.8,2.8
1.1,4.8,2.8
1.155,5.2,2.8
1.21,5.2,2.8
1.2650000000000001,5.2,2.8
1.32,5.6,3.2
1.375,6.0,3.6
1.43,6.4,3.6
1.485,6.4,3.6
1.54,6.8,3.6
1.595,7.2,3.6
1.6500000000000001,7.2,4.4
1.705,7.6,4.4
1.76,7.6,4.8
1.815,8.0,4.4
1.87,8.4,4.8
1.925,8.4,4.8
1.98,8.4,5.2
2.035,8.8,5.6
2.09,9.2,5.6
2.145,9.2,6.0
2.2,9.6,6.0
2.255,10.0,6.4
2.31,10.4,6.4
2.365,10.4,6.8
2.42,10.8,7.2
2.475,10.8,7.2
2.5300000000000002,11.2,7.6
2.585,11.6,7.6
2.64,11.6,7.6
2.695,11.6,8.0
2.75,12.0,8.4
2.805,12.4,8.4
2.86,12.4,8.8
2.915,12.8,8.8
2.97,12.8,9.2
3.025,13.2,9.2
3.08,13.6,9.6
3.1350000000000002,14.0,9.6
3.19,13.6,10.0
3.245,14.4,10.4
3.3000000000000003,14.4,10.4
3.355,14.4,10.4
3.41,14.4,10.8
3.465,14.4,11.2
3.52,14.4,11.2
3.575,14.8,11.2
3.63,14.8,11.2
3.685,14.8,12.0
3.74,15.2,12.0
3.795,15.2,12.0
3.85,15.2,12.0
3.9050000000000002,14.8,12.0
3.96,15.6,12.0
4.015,15.2,12.4
4.07,15.6,12.0
4.125,15.6,12.4
4.18,15.6,12.8
4.235,15.6,12.8
4.29,15.6,13.2
4.345,16.0,13.2
4.4,16.0,13.2
4.455,16.0,12.8
4.51,16.0,13.6
4.565,15.6,13.6
4.62,16.0,13.6
4.675,16.0,13.6
4.73,16.0,13.6
4.785,16.4,13.6
4.84,16.0,14.0
4.8950000000000005,16.0,13.6
4.95,16.4,14.0
5.005,16.4,14.4
5.0600000000000005,16.4,14.0
5.115,16.4,14.0
5.17,16.0,14.4
5.2250000000000005,16.4,14.4
5.28,16.0,14.4
5.335,16.4,14.4
5.39,16.0,14.4
5.445,16.4,14.4
5.5,16.4,14.4
5.555,16.4,14.4
5.61,16.0,14.4
5.665,16.4,14.4
5.72,16.0,14.4
5.775,16.4,14.4
5.83,16.0,14.4
5.885,16.0,14.4
5.94,16.4,14.4
5.995,16.4,14.4
6.05,15.6,14.8
6.105,15.6,14.8
6.16,15.2,14.4
6.215,15.6,14.4
6.2700000000000005,15.6,14.4
6.325,15.2,14.4
6.38,14.8,14.0
6.4350000000000005,15.2,14.4
6.49,14.8,14.4
6.545,14.4,14.0
6.6000000000000005,14.8,14.0
6.655,14.4,14.0
6.71,14.4,14.0
6.765000000000001,14.4,13.6
6.82,14.0,13.6
6.875,14.0,13.6
6.93,13.6,13.6
6.985,13.6,13.2
7.04,13.2,13.2
7.095,13.2,13.2
7.15,13.2,13.2
7.205,12.8,13.2
7.26,12.8,13.2
7.315,12.4,12.8
7.37,12.4,12.8
7.425,12.4,12.8
7.48,12.0,12.4
7.535,11.6,12.4
7.59,11.6,12.0
7.6450000000000005,11.2,12.0
7.7,11.2,12.0
7.755,10.8,12.0
7.8100000000000005,10.8,12.0
7.865,10.8,12.0
7.92,10.4,12.0
7.9750000000000005,10.0,12.0
8.03,9.6,12.0
8.085,9.6,12.0
8.14,9.6,11.6
8.195,8.8,11.6
8.25,8.8,11.6
8.305,8.4,11.2
8.36,8.0,11.2
8.415000000000001,8.0,11.2
8.47,7.6,11.2
8.525,7.6,11.2
8.58,6.8,11.2
8.635,6.8,11.2
8.69,6.8,11.2
8.745000000000001,6.4,11.2
8.8,6.0,10.8
8.855,6.0,10.4
8.91,5.6,10.4
8.965,4.8,10.8
9.02,4.8,10.4
9.075000000000001,4.0,10.4
9.13,4.0,10.4
9.185,3.6,10.4
9.24,3.6,10.4
9.295,2.8,10.0
9.35,2.8,10.4
9.405,2.4,10.4
9.46,2.0,10.0
9.515,1.6,10.0
9.57,1.6,10.0
9.625,0.8,10.0
9.68,0.8,9.6
9.735,0.4,9.6
9.790000000000001,0.4,10.0
9.845,0.0,10.0
9.9,-0.4,9.2
9.955,-1.2,9.2
10.01,-1.2,9.2
10.065,-1.6,9.6
10.120000000000001,-2.0,9.6
10.175,-2.4,9.2
10.23,-2.4,9.2
10.285,-2.8,9.2
10.34,-3.2,9.2
10.395,-3.2,9.2
10.450000000000001,-3.2,8.8
10.505,-3.6,9.2
10.56,-3.6,8.8
10.615,-4.0,8.8
10.67,-4.4,9.2
10.725,-4.8,8.8
10.78,-5.2,8.4
10.835,-5.6,8.4
10.89,-6.0,8.4
10.945,-6.0,8.4
11.0,-6.0,8.4
11.055,-6.8,8.4
11.11,-6.8,8.4
11.165000000000001,-6.8,8.4
11.22,-7.6,8.4
11.275,-7.6,8.4
11.33,-8.0,8.0
11.385,-8.0,8.0
11.44,-8.4,8.0
11.495000000000001,-8.4,8.0
11.55,-8.8,8.4
11.605,-9.2,8.0
11.66,-9.6,7.6
11.715,-10.0,8.0
11.77,-10.0,7.6
11.825000000000001,-10.4,8.0
11.88,-10.4,7.6
11.935,-10.8,7.6
11.99,-10.8,7.6
12.045,-10.8,7.6
12.1,-11.2,7.6
12.155000000000001,-11.6,7.6
12.21,-11.6,7.2
12.265,-12.4,7.2
12.32,-12.4,7.6
12.375,-12.8,7.2
12.43,-12.8,7.6
12.485,-13.2,7.6
12.540000000000001,-13.6,7.2
12.595,-13.6,6.8
12.65,-13.6,6.8
12.705,-14.0,7.2
12.76,-14.4,6.8
12.815,-14.8,6.8
12.870000000000001,-14.8,6.8
12.925,-14.8,6.8
12.98,-14.8,6.8
13.035,-15.6,6.8
13.09,-15.6,6.8
13.145,-15.6,6.4
13.200000000000001,-16.4,6.4
13.255,-16.4,6.4
13.31,-16.4,6.4
13.365,-16.0,6.8
13.42,-16.4,6.4
13.475,-16.4,6.4
13.530000000000001,-16.8,6.4
13.585,-16.8,6.4
13.64,-17.2,6.4
13.695,-16.8,6.4
13.75,-17.2,6.4
13.805,-17.2,6.0
13.86,-17.6,6.0
13.915000000000001,-17.6,6.0
13.97,-17.6,6.4
14.025,-18.0,6.0
14.08,-17.6,6.0
14.135,-17.6,6.0
14.19,-18.0,5.6
14.245000000000001,-17.6,5.6
14.3,-17.6,5.6
14.355,-17.6,6.0
14.41,-18.0,5.6
14.465,-18.0,6.0
14.52,-18.4,5.6
14.575000000000001,-18.0,6.0
14.63,-18.4,6.0
14.685,-18.4,5.6
14.74,-18.4,5.6
14.795,-18.4,5.6
14.85,-18.0,5.6
14.905000000000001,-18.4,5.6
14.96,-18.0,5.6
15.015,-18.0,5.6
15.07,-18.0,5.2
15.125,-18.4,5.6
15.18,-18.4,5.6
15.235,-18.4,5.2
15.290000000000001,-18.0,5.2
15.345,-18.4,5.2
15.4,-18.4,5.2
15.455,-18.4,5.2
15.51,-18.4,5.2
15.565,-18.4,5.2
15.620000000000001,-18.4,5.2
15.675,-18.0,4.8
15.73,-18.4,5.2
15.785,-18.0,5.2
15.84,-18.4,5.2
15.895,-18.0,4.4
15.950000000000001,-18.0,4.8
16.005,-17.6,4.8
16.06,-17.6,4.8
16.115000000000002,-17.6,4.8
16.17,-17.6,4.8
16.225,-17.6,4.8
16.28,-17.2,4.4
16.335,-17.2,4.8
16.39,-16.8,4.8
16.445,-16.8,4.8
16.5,-16.8,4.8
16.555,-16.4,4.4
16.61,-16.4,4.8
16.665,-16.4,4.4
16.72,-16.0,4.8
16.775,-16.0,4.4
16.830000000000002,-15.6,4.0
16.885,-16.0,4.4
16.94,-16.0,4.0
16.995,-15.6,4.4
17.05,-15.6,4.4
17.105,-14.8,4.4
17.16,-15.6,4.0
17.215,-14.8,4.0
17.27,-14.8,4.0
17.325,-14.8,4.0
17.38,-14.4,4.4
17.435,-14.4,4.4
17.490000000000002,-14.4,4.0
17.545,-13.6,3.6
17.6,-13.6,4.0
17.655,-13.2,3.6
17.71,-13.2,3.6
17.765,-12.8,3.6
17.82,-12.8,3.6
17.875,-12.8,3.6
17.93,-12.8,3.6
17.985,-12.0,4.0
18.04,-12.0,4.0
18.095,-11.6,3.6
18.150000000000002,-11.6,3.6
18.205000000000002,-11.2,3.6
18.26,-10.8,3.6
18.315,-10.8,3.6
18.37,-10.4,3.6
18.425,-10.0,3.6
18.48,-9.6,3.6
18.535,-9.6,3.6
18.59,-9.2,3.6
18.645,-8.4,3.6
18.7,-8.8,3.6
18.755,-8.4,3.6
18.81,-8.0,3.6
18.865000000000002,-8.0,3.2
18.92,-7.2,3.6
18.975,-6.8,3.6
19.03,-6.4,3.6
19.085,-6.0,3.6
19.14,-6.0,3.6
19.195,-5.6,3.6
19.25,-5.2,3.6
19.305,-5.2,3.2
19.36,-4.8,2.8
19.415,-4.4,3.2
19.47,-4.0,3.6
19.525000000000002,-3.6,3.2
19.580000000000002,-3.2,3.2
19.635,-3.2,2.8
19.69,-2.8,3.2
19.745,-2.4,3.2
19.8,-2.0,3.2
19.855,-2.0,2.8
19.91,-1.6,2.8
19.965,-1.2,3.2
20.02,-0.8,2.8
20.075,-0.4,2.8
20.13,0.0,2.8
20.185,0.0,2.8
20.240000000000002,0.4,2.8
20.295,0.8,2.8
20.35,0.8,2.8
20.405,1.2,2.8
20.46,1.2,2.8
20.515,1.6,2.8
20.57,2.0,2.8
20.625,2.4,2.8
20.68,2.8,2.8
20.735,2.8,2.8
20.79,2.8,2.8
20.845,3.6,2.8
20.900000000000002,3.6,2.4
20.955000000000002,4.0,2.4
21.01,4.4,2.8
21.065,4.8,2.8
21.12,5.2,2.8
21.175,5.2,2.8
21.23,5.2,3.2
21.285,6.0,2.8
21.34,5.6,3.2
21.395,6.0,3.6
21.45,6.4,3.6
21.505,6.8,3.6
21.56,7.2,3.6
21.615000000000002,7.2,4.0
21.67,7.6,4.0
21.725,7.6,4.4
21.78,8.0,4.4
21.835,8.4,4.8
21.89,8.4,4.8
21.945,8.4,5.2
22.0,8.8,5.2
22.055,8.8,5.6
22.11,9.2,5.6
22.165,9.2,6.0
22.22,9.6,6.4
22.275000000000002,10.4,6.4
22.330000000000002,10.4,6.4
22.385,10.8,6.8
22.44,10.8,7.2
