Tiempo,Ch1,Ch2
0.0,-0.2,7.4
0.055,0.2,7.2
0.11,0.6,7.4
0.165,0.8,7.4
0.22,1.0,7.4
0.275,1.2,7.4
0.33,1.4,7.4
0.385,1.8,7.4
0.44,2.2,7.2
0.495,2.2,7.2
0.55,2.6,7.2
0.605,2.8,7.2
0.66,3.2,7.2
0.715,3.6,7.2
0.77,3.8,7.2
0.8250000000000001,4.0,7.2
0.88,4.6,7.2
0.935,4.8,7.2
0.99,5.0,7.2
1.045,5.4,7.0
1.1,5.6,7.2
1.155,5.8,7.0
1.21,6.0,7.0
1.2650000000000001,6.2,7.0
1.32,6.6,7.0
1.375,6.8,6.8
1.43,7.0,7.0
1.485,7.4,7.0
1.54,7.6,6.8
1.595,7.8,6.8
1.6500000000000001,8.2,6.8
1.705,8.4,6.8
1.76,8.6,6.8
1.815,9.0,6.8
1.87,9.0,6.8
1.925,9.2,6.8
1.98,9.4,6.8
2.035,9.4,7.0
2.09,9.6,7.0
2.145,10.0,7.0
2.2,10.2,7.2
2.255,10.8,7.2
2.31,11.0,7.4
2.365,11.2,7.4
2.42,11.2,7.4
2.475,11.6,7.6
2.5300000000000002,11.8,7.8
2.585,12.2,7.8
2.64,12.4,8.0
2.695,12.6,8.2
2.75,13.0,8.2
2.805,13.0,8.4
2.86,13.4,8.6
2.915,13.4,8.8
2.97,13.6,9.0
3.025,13.8,9.2
3.08,14.0,9.0
3.1350000000000002,14.2,9.2
3.19,14.6,9.6
3.245,14.6,9.6
3.3000000000000003,14.8,9.8
3.355,14.8,10.0
3.41,15.2,10.2
3.465,15.2,10.2
3.52,15.2,10.4
3.575,15.4,10.6
3.63,15.4,10.6
3.685,15.6,10.8
3.74,15.8,11.0
3.795,15.8,11.0
3.85,16.0,11.4
3.9050000000000002,16.0,11.4
3.96,16.0,11.6
4.015,16.2,11.6
4.07,16.2,11.8
4.125,16.4,12.0
4.18,16.2,12.0
4.235,16.2,12.4
4.29,16.4,12.4
4.345,16.4,12.4
4.4,16.6,12.6
4.455,16.6,12.8
4.51,16.6,12.8
4.565,16.6,12.8
4.62,16.6,13.0
4.675,16.8,13.0
4.73,16.8,13.2
4.785,16.8,13.2
4.84,16.8,13.4
4.8950000000000005,16.8,13.6
4.95,17.0,13.6
5.005,16.8,13.6
5.0600000000000005,16.8,13.8
5.115,16.8,13.8
5.17,17.0,14.0
5.2250000000000005,17.0,14.0
5.28,16.8,13.8
5.335,17.0,14.0
5.39,17.0,14.0
5.445,17.0,14.2
5.5,17.0,14.2
5.555,16.8,14.2
5.61,16.8,14.2
5.665,17.0,14.4
5.72,17.0,14.4
5.775,17.0,14.2
5.83,16.8,14.4
5.885,16.8,14.6
5.94,16.8,14.6
5.995,16.8,14.6
6.05,16.6,14.6
6.105,16.4,14.6
6.16,16.2,14.8
6.215,16.2,14.6
6.2700000000000005,16.0,14.8
6.325,15.8,14.8
6.38,15.8,14.6
6.4350000000000005,15.8,14.6
6.49,15.6,14.6
6.545,15.4,14.6
6.6000000000000005,15.4,14.6
6.655,15.2,14.6
6.71,15.0,14.4
6.765000000000001,14.8,14.4
6.82,14.8,14.4
6.875,14.6,14.4
6.93,14.6,14.4
6.985,14.4,14.4
7.04,14.2,14.2
7.095,13.8,14.2
7.15,13.8,14.0
7.205,13.6,14.2
7.26,13.4,14.0
7.315,13.2,14.0
7.37,13.0,14.0
7.425,13.0,14.0
7.48,12.6,14.0
7.535,12.6,13.8
7.59,12.4,13.8
7.6450000000000005,12.0,13.6
7.7,12.2,13.8
7.755,11.8,13.8
7.8100000000000005,11.4,13.8
7.865,11.4,13.6
7.92,11.0,13.6
7.9750000000000005,10.8,13.6
8.03,10.4,13.6
8.085,10.4,13.6
8.14,10.0,13.4
8.195,9.8,13.4
8.25,9.6,13.4
8.305,9.2,13.4
8.36,8.8,13.2
8.415000000000001,8.6,13.4
8.47,8.2,13.2
8.525,8.2,13.4
8.58,7.6,13.2
8.635,7.6,13.2
8.69,7.4,13.2
8.745000000000001,7.4,13.0
8.8,7.0,13.0
8.855,6.4,13.0
8.91,6.0,13.0
8.965,5.4,13.0
9.02,5.0,12.8
9.075000000000001,4.6,13.0
9.13,4.4,12.8
9.185,4.4,12.8
9.24,4.0,12.8
9.295,3.6,12.6
9.35,3.4,12.4
9.405,3.0,12.4
9.46,2.6,12.4
9.515,2.4,12.6
9.57,1.8,12.4
9.625,1.8,12.6
9.68,1.6,12.4
9.735,1.2,12.4
9.790000000000001,0.8,12.4
9.845,0.6,12.4
9.9,0.2,12.2
9.955,-0.2,12.4
10.01,-0.6,12.2
10.065,-0.8,12.2
10.120000000000001,-1.2,12.2
10.175,-1.6,12.2
10.23,-1.6,12.2
10.285,-2.0,12.2
10.34,-2.2,12.0
10.395,-2.4,12.0
10.450000000000001,-2.8,12.0
10.505,-3.2,11.8
10.56,-3.4,11.8
10.615,-3.6,11.8
10.67,-4.0,11.8
10.725,-4.4,11.8
10.78,-4.6,11.8
10.835,-4.8,11.8
10.89,-5.0,11.8
10.945,-5.6,11.8
11.0,-5.8,11.8
11.055,-6.2,11.6
11.11,-6.4,11.6
11.165000000000001,-6.6,11.4
11.22,-6.8,11.6
11.275,-7.0,11.4
11.33,-7.2,11.4
11.385,-7.6,11.4
11.44,-7.8,11.4
11.495000000000001,-8.0,11.4
11.55,-8.4,11.4
11.605,-8.6,11.4
11.66,-9.0,11.4
11.715,-9.2,11.4
11.77,-9.4,11.2
11.825000000000001,-9.6,11.2
11.88,-9.8,11.2
11.935,-10.2,11.0
11.99,-10.4,11.0
12.045,-10.4,11.0
12.1,-10.6,11.0
12.155000000000001,-11.0,11.0
12.21,-11.4,11.0
12.265,-11.6,11.0
12.32,-12.0,10.8
12.375,-12.4,11.0
12.43,-12.4,10.8
12.485,-12.6,10.8
12.540000000000001,-12.8,10.8
12.595,-13.0,10.6
12.65,-13.2,10.8
12.705,-13.6,10.6
12.76,-13.8,10.6
12.815,-14.0,10.6
12.870000000000001,-14.4,10.6
12.925,-14.4,10.6
12.98,-14.6,10.6
13.035,-15.0,10.4
13.09,-15.0,10.6
13.145,-15.4,10.4
13.200000000000001,-15.6,10.4
13.255,-15.6,10.4
13.31,-15.8,10.4
13.365,-15.8,10.4
13.42,-15.8,10.4
13.475,-16.0,10.4
13.530000000000001,-16.4,10.4
13.585,-16.4,10.4
13.64,-16.4,10.2
13.695,-16.6,10.4
13.75,-16.8,10.2
13.805,-16.8,10.2
13.86,-17.0,10.2
13.915000000000001,-17.2,10.0
13.97,-17.0,10.2
14.025,-17.2,10.0
14.08,-17.2,10.0
14.135,-17.2,10.0
14.19,-17.2,10.2
14.245000000000001,-17.4,10.0
14.3,-17.4,9.8
14.355,-17.4,9.8
14.41,-17.4,9.8
14.465,-17.6,9.8
14.52,-17.6,9.8
14.575000000000001,-17.6,9.8
14.63,-17.6,9.8
14.685,-17.8,9.8
14.74,-17.8,9.8
14.795,-17.8,9.6
14.85,-17.8,9.6
14.905000000000001,-18.0,9.6
14.96,-17.8,9.6
15.015,-17.8,9.4
15.07,-18.0,9.6
15.125,-17.8,9.6
15.18,-17.8,9.4
15.235,-17.8,9.4
15.290000000000001,-18.0,9.4
15.345,-18.0,9.2
15.4,-17.8,9.4
15.455,-18.0,9.4
15.51,-17.8,9.2
15.565,-17.8,9.2
15.620000000000001,-17.8,9.2
15.675,-17.8,9.2
15.73,-18.0,9.0
15.785,-17.8,9.2
15.84,-17.8,9.0
15.895,-17.8,9.0
15.950000000000001,-17.8,9.2
16.005,-17.6,9.2
16.06,-17.2,9.0
16.115000000000002,-17.2,9.0
16.17,-17.0,9.0
16.225,-16.8,9.0
16.28,-16.8,9.0
16.335,-16.8,9.0
16.39,-16.8,9.0
16.445,-16.6,8.8
16.5,-16.4,9.0
16.555,-16.4,8.8
16.61,-16.2,8.8
16.665,-15.8,8.8
16.72,-15.8,8.6
16.775,-15.8,8.8
16.830000000000002,-15.8,8.6
16.885,-15.4,8.6
16.94,-15.4,8.6
16.995,-15.2,8.6
17.05,-15.0,8.4
17.105,-14.8,8.6
17.16,-14.6,8.6
17.215,-14.4,8.6
17.27,-14.2,8.6
17.325,-14.0,8.6
17.38,-14.0,8.6
17.435,-13.6,8.4
17.490000000000002,-13.4,8.4
17.545,-13.4,8.4
17.6,-13.2,8.4
17.655,-13.0,8.2
17.71,-12.8,8.4
17.765,-12.4,8.4
17.82,-12.4,8.2
17.875,-12.2,8.2
17.93,-11.6,8.2
17.985,-11.6,8.2
18.04,-11.4,8.2
18.095,-11.0,8.2
18.150000000000002,-10.8,8.2
18.205000000000002,-10.6,8.0
18.26,-10.2,8.2
18.315,-10.0,8.2
18.37,-9.6,8.2
18.425,-9.4,8.0
18.48,-9.2,8.2
18.535,-8.8,8.0
18.59,-8.4,8.0
18.645,-8.4,8.0
18.7,-8.2,8.0
18.755,-8.0,7.8
18.81,-7.6,7.8
18.865000000000002,-7.2,8.0
18.92,-6.8,8.0
18.975,-6.2,8.0
19.03,-6.0,7.8
19.085,-5.2,7.8
19.14,-5.2,7.6
19.195,-5.0,7.8
19.25,-4.8,7.6
19.305,-4.6,7.8
19.36,-4.2,7.8
19.415,-3.8,7.6
19.47,-3.4,7.8
19.525000000000002,-3.2,7.6
19.580000000000002,-2.8,7.8
19.635,-2.4,7.6
19.69,-2.2,7.6
19.745,-1.8,7.6
19.8,-1.6,7.4
19.855,-1.2,7.6
19.91,-0.8,7.4
19.965,-0.4,7.4
20.02,-0.2,7.4
20.075,0.0,7.6
20.13,0.4,7.4
20.185,0.6,7.4
20.240000000000002,0.8,7.4
20.295,1.2,7.2
20.35,1.4,7.2
20.405,1.8,7.2
20.46,2.0,7.2
20.515,2.2,7.2
20.57,2.6,7.2
20.625,3.0,7.2
20.68,3.2,7.2
20.735,3.6,7.2
20.79,3.8,7.2
20.845,4.2,7.2
20.900000000000002,4.4,7.2
20.955000000000002,4.6,7.2
21.01,5.0,7.0
21.065,5.4,7.0
21.12,5.6,7.0
21.175,6.0,7.0
21.23,6.2,7.0
21.285,6.4,6.8
21.34,6.6,7.0
21.395,6.8,7.0
21.45,7.0,7.0
21.505,7.4,7.0
21.56,7.6,7.0
21.615000000000002,8.0,6.8
21.67,8.2,6.8
21.725,8.2,7.0
21.78,8.6,7.0
21.835,8.8,6.8
21.89,9.2,6.8
21.945,9.4,6.8
22.0,9.4,7.0
22.055,9.4,7.0
22.11,9.8,7.0
22.165,10.0,7.2
22.22,10.4,7.2
22.275000000000002,10.8,7.2
22.330000000000002,11.0,7.2
22.385,11.4,7.6
22.44,11.4,7.6
22.495,11.8,7.8
22.55,12.0,7.8
22.605,12.2,8.0
22.66,12.4,8.2
22.715,12.6,8.2
22.77,13.0,8.2
22.825,13.0,8.4
22.88,13.4,8.6
22.935,13.4,8.8
22.990000000000002,13.6,9.0
23.045,14.0,9.0
23.1,14.2,9.0
23.155,14.2,9.4
23.21,14.6,9.6
23.265,14.6,9.6
23.32,14.8,10.0
23.375,15.0,10.0
23.43,15.2,10.2
23.485,15.0,10.4
23.54,15.4,10.4
23.595,15.4,10.6
23.650000000000002,15.4,10.8
23.705000000000002,15.6,11.0
23.76,15.8,11.2
23.815,15.8,11.2
23.87,16.0,11.4
23.925,16.0,11.4
23.98,16.2,11.8
24.035,16.2,11.8
24.09,16.2,11.8
24.145,16.2,12.0
24.2,16.2,12.2
24.255,16.4,12.2
24.310000000000002,16.4,12.4
24.365000000000002,16.4,12.4
24.42,16.4,12.6
24.475,16.8,12.8
24.53,16.6,12.8
24.585,16.8,12.8
24.64,16.8,13.0
24.695,16.8,13.2
24.75,16.8,13.2
24.805,16.8,13.2
24.86,16.8,13.4
24.915,16.8,13.4
24.97,17.0,13.6
25.025000000000002,17.0,13.8
25.080000000000002,17.0,13.8
25.135,17.0,13.8
25.19,17.0,13.8
25.245,17.2,13.8
25.3,17.0,14.0
25.355,17.0,14.0
25.41,16.8,14.0
25.465,16.8,14.2
25.52,17.0,14.2
25.575,17.2,14.2
25.63,17.0,14.4
25.685000000000002,16.8,14.2
25.740000000000002,17.0,14.4
25.795,17.0,14.4
25.85,16.8,14.6
25.905,16.8,14.6
25.96,16.8,14.6
26.015,16.8,14.6
26.07,16.6,14.6
26.125,16.2,14.8
26.18,16.2,14.8
26.235,16.2,14.8
26.29,16.0,14.6
26.345,15.8,14.8
26.400000000000002,15.8,14.8
26.455000000000002,15.8,14.6
26.51,15.6,14.8
26.565,15.6,14.6
26.62,15.4,14.6
26.675,15.2,14.4
26.73,15.0,14.6
26.785,15.0,14.4
26.84,14.8,14.4
26.895,14.8,14.4
26.95,14.4,14.4
27.005,14.2,14.4
27.060000000000002,14.2,14.2
27.115000000000002,14.0,14.2
27.17,13.8,14.2
27.225,13.6,14.2
27.28,13.4,14.2
27.335,13.4,14.0
27.39,13.0,14.0
27.445,12.8,14.0
27.5,12.6,13.8
27.555,12.6,14.0
27.61,12.2,13.8
27.665,12.2,13.8
27.72,12.0,13.8
27.775000000000002,11.8,13.8
27.830000000000002,11.4,13.8
27.885,11.2,13.8
27.94,11.0,13.6
27.995,10.8,13.6
28.05,10.4,13.6
28.105,10.4,13.4
28.16,10.0,13.6
28.215,10.0,13.6
28.27,9.4,13.4
28.325,9.2,13.4
28.38,8.8,13.2
28.435000000000002,8.4,13.4
28.490000000000002,8.4,13.2
28.545,8.0,13.2
28.6,7.8,13.2
28.655,7.4,13.2
28.71,7.4,13.0
28.765,7.2,13.2
28.82,7.0,13.0
28.875,6.6,13.0
28.93,6.0,13.0
28.985,5.4,13.0
29.04,5.0,13.0
29.095,4.6,12.8
29.150000000000002,4.4,12.8
29.205000000000002,4.2,12.8
29.26,4.0,12.8
29.315,3.6,12.8
29.37,3.2,12.8
29.425,3.2,12.6
29.48,2.6,12.4
29.535,2.2,12.6
29.59,1.8,12.6
29.645,1.8,12.4
29.7,1.2,12.4
29.755,1.0,12.4
29.810000000000002,0.8,12.4
29.865000000000002,0.4,12.4
