Tiempo,Ch1,Ch2
0.0,-0.2,11.8
0.055,0.2,11.8
0.11,0.4,11.6
0.165,0.8,11.6
0.22,0.8,11.6
0.275,1.2,11.6
0.33,1.4,11.6
0.385,1.6,11.6
0.44,2.0,11.6
0.495,2.2,11.8
0.55,2.6,11.6
0.605,2.8,11.6
0.66,3.0,11.6
0.715,3.4,11.6
0.77,3.8,11.6
0.8250000000000001,4.2,11.6
0.88,4.2,11.6
0.935,4.6,11.6
0.99,5.0,11.8
1.045,5.2,11.6
1.1,5.4,11.6
1.155,5.8,11.6
1.21,6.0,11.6
1.2650000000000001,6.2,11.6
1.32,6.4,11.6
1.375,6.6,11.6
1.43,7.0,11.6
1.485,7.2,11.6
1.54,7.6,11.6
1.595,7.8,11.4
1.6500000000000001,8.2,11.6
1.705,8.4,11.6
1.76,8.6,11.6
1.815,9.0,11.6
1.87,9.2,11.4
1.925,9.4,11.4
1.98,9.4,11.8
2.035,9.4,11.4
2.09,9.8,11.6
2.145,10.0,11.6
2.2,10.4,11.6
2.255,10.8,11.6
2.31,11.0,11.4
2.365,11.2,11.4
2.42,11.6,11.6
2.475,11.8,11.6
2.5300000000000002,12.0,11.4
2.585,12.2,11.4
2.64,12.6,11.4
2.695,12.8,11.4
2.75,12.8,11.4
2.805,13.2,11.4
2.86,13.4,11.4
2.915,13.4,11.4
2.97,13.8,11.6
3.025,13.8,11.6
3.08,14.2,11.6
3.1350000000000002,14.4,11.6
3.19,14.6,11.6
3.245,14.8,11.6
3.3000000000000003,14.8,11.6
3.355,15.0,11.6
3.41,15.0,11.6
3.465,15.2,11.6
3.52,15.2,11.6
3.575,15.4,11.6
3.63,15.4,11.6
3.685,15.6,11.6
3.74,15.8,11.8
3.795,15.8,11.6
3.85,16.0,11.6
3.9050000000000002,16.0,11.6
3.96,16.2,11.6
4.015,16.2,11.8
4.07,16.2,11.8
4.125,16.2,11.8
4.18,16.4,11.8
4.235,16.2,11.8
4.29,16.4,11.8
4.345,16.4,11.8
4.4,16.4,11.8
4.455,16.6,11.8
4.51,16.6,11.8
4.565,16.6,12.0
4.62,16.6,12.0
4.675,16.8,11.8
4.73,16.8,11.8
4.785,16.8,12.0
4.84,16.8,12.0
4.8950000000000005,16.8,12.0
4.95,16.8,12.0
5.005,17.0,12.0
5.0600000000000005,17.0,11.8
5.115,16.8,12.0
5.17,16.8,12.0
5.2250000000000005,17.0,12.0
5.28,16.8,12.0
5.335,16.8,12.2
5.39,16.8,12.2
5.445,16.8,12.0
5.5,17.0,12.0
5.555,17.0,12.4
5.61,17.0,12.2
5.665,17.0,12.2
5.72,16.8,12.4
5.775,16.8,12.2
5.83,17.0,12.4
5.885,16.8,12.4
5.94,16.8,12.4
5.995,16.6,12.4
6.05,16.6,12.4
6.105,16.4,12.4
6.16,16.2,12.4
6.215,16.0,12.2
6.2700000000000005,15.8,12.4
6.325,15.8,12.4
6.38,15.8,12.4
6.4350000000000005,15.8,12.4
6.49,15.4,12.4
6.545,15.4,12.4
6.6000000000000005,15.2,12.4
6.655,15.2,12.4
6.71,15.0,12.4
6.765000000000001,14.8,12.4
6.82,14.8,12.4
6.875,14.8,12.4
6.93,14.4,12.4
6.985,14.4,12.4
7.04,14.2,12.6
7.095,14.0,12.6
7.15,14.0,12.4
7.205,13.6,12.6
7.26,13.6,12.4
7.315,13.4,12.4
7.37,13.0,12.4
7.425,13.0,12.6
7.48,12.8,12.4
7.535,12.6,12.4
7.59,12.4,12.4
7.6450000000000005,12.2,12.4
7.7,12.0,12.4
7.755,11.6,12.6
7.8100000000000005,11.6,12.4
7.865,11.2,12.4
7.92,11.0,12.4
7.9750000000000005,11.0,12.4
8.03,10.6,12.4
8.085,10.4,12.4
8.14,10.0,12.6
