Tiempo,Ch1,Ch2
13.31,-16.4,-1.2
13.365,-16.4,-1.2
13.42,-16.8,-1.2
13.475,-16.4,-1.2
13.530000000000001,-16.8,-1.2
13.585,-17.2,-1.2
13.64,-17.6,-1.2
13.695,-17.2,-1.2
13.75,-17.6,-1.2
13.805,-17.6,-0.8
13.86,-17.6,-1.2
13.915000000000001,-17.6,-1.2
13.97,-17.6,-1.2
14.025,-17.6,-1.2
14.08,-17.6,-1.2
14.135,-17.6,-1.2
14.19,-18.0,-1.2
14.245000000000001,-17.6,-1.2
14.3,-17.6,-1.2
14.355,-18.0,-1.2
14.41,-18.0,-1.2
14.465,-18.0,-0.8
14.52,-18.4,-1.2
14.575000000000001,-18.0,-1.2
14.63,-18.4,-1.2
14.685,-18.4,-1.2
14.74,-18.4,-1.2
14.795,-18.4,-1.2
14.85,-18.0,-1.2
14.905000000000001,-18.4,-1.2
14.96,-18.4,-1.2
15.015,-18.4,-1.2
15.07,-18.4,-1.2
15.125,-18.4,-1.2
15.18,-18.4,-1.2
15.235,-18.4,-1.2
15.290000000000001,-18.8,-1.2
15.345,-18.4,-1.2
15.4,-18.4,-1.2
15.455,-18.0,-1.2
15.51,-18.4,-1.2
15.565,-18.4,-1.2
15.620000000000001,-18.4,-1.2
15.675,-18.4,-1.2
15.73,-18.0,-0.8
15.785,-18.0,-1.2
15.84,-18.4,-1.2
15.895,-18.0,-1.2
15.950000000000001,-18.0,-1.2
16.005,-17.6,-1.2
16.06,-17.6,-1.2
16.115000000000002,-17.6,-1.2
16.17,-17.2,-1.2
16.225,-17.2,-1.2
16.28,-17.2,-1.2
16.335,-17.2,-1.2
16.39,-16.8,-0.8
16.445,-16.4,-0.8
16.5,-16.4,-1.2
16.555,-16.4,-1.2
16.61,-16.4,-1.2
16.665,-16.0,-0.8
16.72,-16.0,-1.2
16.775,-16.0,-1.2
16.830000000000002,-16.0,-1.2
16.885,-15.6,-1.2
16.94,-15.6,-1.2
16.995,-15.2,-1.2
17.05,-14.8,-1.2
17.105,-14.8,-1.2
17.16,-14.8,-1.2
17.215,-14.4,-1.2
17.27,-14.4,-1.2
17.325,-14.4,-1.2
17.38,-14.4,-1.2
17.435,-13.6,-1.2
17.490000000000002,-13.6,-1.2
17.545,-13.6,-1.2
17.6,-13.2,-1.2
17.655,-13.2,-1.2
17.71,-12.8,-1.2
17.765,-12.8,-1.2
17.82,-12.4,-1.2
17.875,-12.0,-1.2
17.93,-11.6,-1.2
17.985,-11.2,-0.8
18.04,-11.6,-1.2
18.095,-11.2,-1.2
18.150000000000002,-10.8,-1.2
18.205000000000002,-10.4,-0.8
18.26,-10.0,-1.2
18.315,-10.0,-1.2
18.37,-9.2,-1.2
18.425,-9.6,-1.2
18.48,-9.2,-1.2
18.535,-8.4,-1.2
18.59,-8.8,-1.2
18.645,-8.4,-1.2
18.7,-8.0,-1.2
18.755,-7.6,-1.2
18.81,-7.2,-1.2
18.865000000000002,-6.8,-1.2
18.92,-6.4,-1.2
18.975,-6.4,-1.2
19.03,-5.6,-1.2
19.085,-5.6,-1.2
19.14,-5.6,-1.2
19.195,-4.8,-1.2
19.25,-4.8,-1.2
19.305,-4.8,-1.2
19.36,-4.4,-1.2
19.415,-3.6,-1.2
19.47,-3.6,-1.2
19.525000000000002,-3.2,-1.2
19.580000000000002,-3.2,-1.2
19.635,-2.8,-1.2
19.69,-2.4,-1.2
19.745,-2.0,-1.2
19.8,-2.0,-1.2
19.855,-1.2,-1.2
19.91,-0.8,-1.2
19.965,-0.4,-1.2
20.02,-0.4,-1.2
20.075,0.0,-1.2
20.13,0.0,-1.2
20.185,0.4,-0.8
20.240000000000002,0.8,-0.4
20.295,1.2,-0.8
20.35,1.2,0.0
20.405,2.0,0.0
20.46,1.6,0.4
20.515,2.0,0.4
20.57,2.4,0.8
20.625,2.8,1.2
20.68,3.2,1.6
20.735,3.2,1.6
20.79,3.6,1.6
20.845,4.4,2.4
20.900000000000002,4.4,2.4
20.955000000000002,4.8,2.8
21.01,4.8,3.6
21.065,5.2,3.6
21.12,5.2,3.6
21.175,5.6,4.0
21.23,6.0,4.0
21.285,6.0,4.4
21.34,6.0,4.4
21.395,6.8,4.4
21.45,6.4,5.2
21.505,6.8,5.6
21.56,7.6,6.0
21.615000000000002,8.0,5.6
21.67,8.0,6.0
21.725,8.0,6.4
21.78,8.4,6.4
21.835,8.8,6.4
21.89,8.8,6.4
21.945,8.8,6.8
22.0,8.8,7.2
22.055,9.6,7.6
22.11,9.6,8.0
22.165,10.0,8.4
22.22,10.4,8.4
22.275000000000002,10.8,8.4
22.330000000000002,10.8,8.8
22.385,11.6,9.2
22.44,11.2,9.2
22.495,11.6,9.6
22.55,11.6,9.2
22.605,12.0,10.0
22.66,12.4,10.4
22.715,12.4,10.4
22.77,12.8,10.4
22.825,12.4,10.8
22.88,13.2,10.8
22.935,13.2,11.2
22.990000000000002,13.6,11.6
23.045,13.6,12.0
23.1,13.6,12.0
23.155,14.0,12.4
23.21,14.0,12.4
23.265,14.0,12.4
23.32,14.8,12.0
23.375,14.4,12.8
23.43,14.8,12.8
23.485,14.4,12.8
23.54,14.8,13.2
23.595,15.2,12.8
23.650000000000002,15.2,13.2
23.705000000000002,15.2,13.2
23.76,15.2,13.6
23.815,15.6,13.6
23.87,15.6,13.6
23.925,15.6,13.6
23.98,15.6,13.6
24.035,15.6,13.6
24.09,15.6,14.0
24.145,15.6,14.0
24.2,15.6,14.0
24.255,15.6,14.0
24.310000000000002,15.6,14.0
24.365000000000002,16.0,14.0
24.42,16.0,14.4
24.475,16.0,14.4
24.53,16.4,14.4
24.585,16.0,14.4
24.64,16.4,14.0
24.695,16.0,14.4
24.75,16.4,14.4
24.805,16.4,14.4
24.86,16.0,14.8
24.915,16.0,14.4
24.97,16.4,14.4
25.025000000000002,16.0,14.8
25.080000000000002,16.4,14.4
25.135,16.4,14.4
25.19,16.0,14.8
25.245,16.0,14.8
25.3,16.4,14.8
25.355,16.4,14.8
25.41,16.0,14.8
25.465,16.4,14.8
25.52,16.4,14.8
25.575,16.4,14.8
25.63,16.4,14.4
25.685000000000002,16.0,14.8
25.740000000000002,16.0,14.8
25.795,15.6,14.8
25.85,16.0,14.8
25.905,15.6,14.4
25.96,15.6,14.4
26.015,15.6,14.0
26.07,15.2,14.0
26.125,15.2,14.0
26.18,15.2,14.0
26.235,15.6,13.6
26.29,15.2,14.0
26.345,14.8,14.0
26.400000000000002,14.8,13.6
26.455000000000002,14.4,13.6
26.51,14.8,13.2
26.565,14.4,13.2
26.62,14.4,13.2
26.675,14.4,13.2
26.73,14.0,12.8
26.785,14.0,12.8
26.84,13.6,12.4
26.895,13.6,12.4
26.95,13.2,12.4
27.005,13.6,12.4
27.060000000000002,12.8,12.4
27.115000000000002,12.8,12.0
27.17,13.2,11.6
27.225,12.4,11.6
27.28,12.4,11.6
27.335,12.0,11.2
27.39,11.6,10.8
27.445,11.6,11.2
27.5,11.6,10.8
27.555,11.6,10.4
27.61,10.8,10.4
27.665,10.8,10.0
27.72,10.8,10.0
27.775000000000002,10.4,9.6
27.830000000000002,10.0,10.0
27.885,9.6,9.2
27.94,10.0,9.2
27.995,9.2,8.8
28.05,9.2,8.4
28.105,9.2,8.4
28.16,8.8,8.0
28.215,8.4,8.0
28.27,8.0,7.6
28.325,7.6,7.2
28.38,7.6,6.8
28.435000000000002,7.2,6.8
28.490000000000002,7.2,6.4
28.545,6.8,6.4
28.6,6.8,6.0
28.655,6.8,6.4
28.71,6.0,5.6
28.765,5.2,5.2
28.82,5.6,4.8
28.875,4.8,4.4
28.93,4.4,4.4
28.985,4.0,3.6
29.04,3.6,3.6
29.095,3.2,3.6
29.150000000000002,3.6,2.8
29.205000000000002,2.8,2.8
29.26,2.8,2.8
29.315,2.4,2.0
29.37,2.0,2.0
29.425,2.0,1.6
29.48,1.2,1.6
29.535,0.8,1.2
29.59,0.8,0.8
29.645,0.8,0.8
29.7,0.0,0.0
29.755,0.0,0.0
29.810000000000002,-0.4,-0.4
29.865000000000002,-0.8,-0.4
29.92,-1.2,-1.2
29.975,-1.6,-1.2
30.03,-2.0,-1.2
30.085,-2.0,-1.2
30.14,-2.4,-1.2
30.195,-2.8,-1.2
30.25,-2.8,-1.2
30.305,-3.2,-1.2
30.36,-3.2,-1.2
30.415,-4.0,-1.2
30.47,-4.0,-1.2
30.525000000000002,-4.4,-0.8
30.580000000000002,-4.4,-0.8
30.635,-4.8,-1.2
30.69,-5.2,-1.2
30.745,-5.2,-1.2
30.8,-5.6,-1.2
30.855,-6.0,-1.2
30.91,-6.8,-1.2
30.965,-6.8,-1.2
31.02,-6.8,-1.2
31.075,-7.6,-1.2
31.13,-7.6,-1.2
31.185000000000002,-7.6,-1.2
31.240000000000002,-7.6,-1.6
31.295,-8.0,-1.2
31.35,-8.4,-1.2
31.405,-8.4,-0.8
31.46,-9.2,-1.2
31.515,-9.2,-0.8
31.57,-9.6,-1.2
31.625,-10.0,-1.2
31.68,-10.0,-1.2
31.735,-10.0,-1.2
31.79,-10.4,-1.2
31.845000000000002,-10.8,-1.2
31.900000000000002,-10.8,-1.2
31.955000000000002,-11.2,-1.2
32.01,-11.2,-1.2
32.065,-11.2,-1.2
32.12,-12.0,-1.2
32.175,-12.0,-1.2
32.230000000000004,-12.8,-1.2
32.285000000000004,-12.8,-1.2
32.34,-12.8,-1.2
32.395,-13.2,-1.2
32.45,-13.2,-1.2
32.505,-14.0,-1.2
32.56,-14.0,-1.2
32.615,-14.0,-1.2
