Time Base:2.00ms
Sampling Rate:2.00MSa/s
Amplitude:2.00V
Amplitude resolution:80.00mV
Data Uint:mv
Data points:64000
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.35E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.35E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
  1.34E+04
